Ileak	T	Leff
1.890197e-10	3.181500e+02	1.980000e-08
2.204809e-10	3.264153e+02	1.980000e-08
2.570551e-10	3.346806e+02	1.980000e-08
2.992417e-10	3.429459e+02	1.980000e-08
3.475486e-10	3.512112e+02	1.980000e-08
4.024896e-10	3.594765e+02	1.980000e-08
4.645815e-10	3.677418e+02	1.980000e-08
5.343420e-10	3.760071e+02	1.980000e-08
6.122887e-10	3.842724e+02	1.980000e-08
6.989365e-10	3.925378e+02	1.980000e-08
7.947928e-10	4.008031e+02	1.980000e-08
9.003622e-10	4.090684e+02	1.980000e-08
1.016142e-09	4.173337e+02	1.980000e-08
1.142620e-09	4.255990e+02	1.980000e-08
1.280278e-09	4.338643e+02	1.980000e-08
1.429588e-09	4.421296e+02	1.980000e-08
1.591012e-09	4.503949e+02	1.980000e-08
1.765005e-09	4.586602e+02	1.980000e-08
1.952013e-09	4.669255e+02	1.980000e-08
2.152472e-09	4.751908e+02	1.980000e-08
2.366812e-09	4.834561e+02	1.980000e-08
2.595455e-09	4.917214e+02	1.980000e-08
2.838818e-09	4.999867e+02	1.980000e-08
3.097312e-09	5.082520e+02	1.980000e-08
3.371345e-09	5.165173e+02	1.980000e-08
3.661328e-09	5.247827e+02	1.980000e-08
3.967669e-09	5.330480e+02	1.980000e-08
4.290800e-09	5.413133e+02	1.980000e-08
4.631190e-09	5.495786e+02	1.980000e-08
4.989393e-09	5.578439e+02	1.980000e-08
5.366147e-09	5.661092e+02	1.980000e-08
5.762570e-09	5.743745e+02	1.980000e-08
6.180558e-09	5.826398e+02	1.980000e-08
6.623559e-09	5.909051e+02	1.980000e-08
7.098078e-09	5.991704e+02	1.980000e-08
7.616521e-09	6.074357e+02	1.980000e-08
8.202496e-09	6.157010e+02	1.980000e-08
8.900529e-09	6.239663e+02	1.980000e-08
9.793570e-09	6.322316e+02	1.980000e-08
1.103404e-08	6.404969e+02	1.980000e-08
1.289805e-08	6.487622e+02	1.980000e-08
1.587866e-08	6.570276e+02	1.980000e-08
2.084364e-08	6.652929e+02	1.980000e-08
2.929913e-08	6.735582e+02	1.980000e-08
4.382249e-08	6.818235e+02	1.980000e-08
6.876307e-08	6.900888e+02	1.980000e-08
1.113584e-07	6.983541e+02	1.980000e-08
1.834833e-07	7.066194e+02	1.980000e-08
3.043427e-07	7.148847e+02	1.980000e-08
5.045412e-07	7.231500e+02	1.980000e-08
1.829864e-10	3.181500e+02	1.991020e-08
2.131800e-10	3.264153e+02	1.991020e-08
2.483071e-10	3.346806e+02	1.991020e-08
2.888540e-10	3.429459e+02	1.991020e-08
3.353156e-10	3.512112e+02	1.991020e-08
3.881933e-10	3.594765e+02	1.991020e-08
4.479919e-10	3.677418e+02	1.991020e-08
5.152175e-10	3.760071e+02	1.991020e-08
5.903764e-10	3.842724e+02	1.991020e-08
6.739727e-10	3.925378e+02	1.991020e-08
7.665038e-10	4.008031e+02	1.991020e-08
8.684646e-10	4.090684e+02	1.991020e-08
9.803426e-10	4.173337e+02	1.991020e-08
1.102618e-09	4.255990e+02	1.991020e-08
1.235763e-09	4.338643e+02	1.991020e-08
1.380242e-09	4.421296e+02	1.991020e-08
1.536509e-09	4.503949e+02	1.991020e-08
1.705013e-09	4.586602e+02	1.991020e-08
1.886191e-09	4.669255e+02	1.991020e-08
2.080474e-09	4.751908e+02	1.991020e-08
2.288285e-09	4.834561e+02	1.991020e-08
2.510039e-09	4.917214e+02	1.991020e-08
2.746146e-09	4.999867e+02	1.991020e-08
2.997013e-09	5.082520e+02	1.991020e-08
3.263039e-09	5.165173e+02	1.991020e-08
3.544632e-09	5.247827e+02	1.991020e-08
3.842191e-09	5.330480e+02	1.991020e-08
4.156142e-09	5.413133e+02	1.991020e-08
4.486947e-09	5.495786e+02	1.991020e-08
4.835154e-09	5.578439e+02	1.991020e-08
5.201493e-09	5.661092e+02	1.991020e-08
5.587076e-09	5.743745e+02	1.991020e-08
5.993789e-09	5.826398e+02	1.991020e-08
6.425073e-09	5.909051e+02	1.991020e-08
6.887424e-09	5.991704e+02	1.991020e-08
7.393238e-09	6.074357e+02	1.991020e-08
7.966114e-09	6.157010e+02	1.991020e-08
8.650566e-09	6.239663e+02	1.991020e-08
9.529535e-09	6.322316e+02	1.991020e-08
1.075543e-08	6.404969e+02	1.991020e-08
1.260434e-08	6.487622e+02	1.991020e-08
1.556932e-08	6.570276e+02	1.991020e-08
2.051813e-08	6.652929e+02	1.991020e-08
2.895688e-08	6.735582e+02	1.991020e-08
4.346293e-08	6.818235e+02	1.991020e-08
6.838558e-08	6.900888e+02	1.991020e-08
1.109624e-07	6.983541e+02	1.991020e-08
1.830681e-07	7.066194e+02	1.991020e-08
3.039077e-07	7.148847e+02	1.991020e-08
5.040854e-07	7.231500e+02	1.991020e-08
1.773183e-10	3.181500e+02	2.002041e-08
2.063133e-10	3.264153e+02	2.002041e-08
2.400708e-10	3.346806e+02	2.002041e-08
2.790645e-10	3.429459e+02	2.002041e-08
3.237769e-10	3.512112e+02	2.002041e-08
3.746975e-10	3.594765e+02	2.002041e-08
4.323193e-10	3.677418e+02	2.002041e-08
4.971369e-10	3.760071e+02	2.002041e-08
5.696461e-10	3.842724e+02	2.002041e-08
6.503404e-10	3.925378e+02	2.002041e-08
7.397074e-10	4.008031e+02	2.002041e-08
8.382323e-10	4.090684e+02	2.002041e-08
9.463936e-10	4.173337e+02	2.002041e-08
1.064663e-09	4.255990e+02	2.002041e-08
1.193505e-09	4.338643e+02	2.002041e-08
1.333375e-09	4.421296e+02	2.002041e-08
1.484721e-09	4.503949e+02	2.002041e-08
1.647983e-09	4.586602e+02	2.002041e-08
1.823593e-09	4.669255e+02	2.002041e-08
2.011974e-09	4.751908e+02	2.002041e-08
2.213543e-09	4.834561e+02	2.002041e-08
2.428709e-09	4.917214e+02	2.002041e-08
2.657877e-09	4.999867e+02	2.002041e-08
2.901445e-09	5.082520e+02	2.002041e-08
3.159809e-09	5.165173e+02	2.002041e-08
3.433368e-09	5.247827e+02	2.002041e-08
3.722516e-09	5.330480e+02	2.002041e-08
4.027673e-09	5.413133e+02	2.002041e-08
4.349295e-09	5.495786e+02	2.002041e-08
4.687922e-09	5.578439e+02	2.002041e-08
5.044278e-09	5.661092e+02	2.002041e-08
5.419467e-09	5.743745e+02	2.002041e-08
5.815368e-09	5.826398e+02	2.002041e-08
6.235414e-09	5.909051e+02	2.002041e-08
6.686093e-09	5.991704e+02	2.002041e-08
7.179791e-09	6.074357e+02	2.002041e-08
7.740097e-09	6.157010e+02	2.002041e-08
8.411518e-09	6.239663e+02	2.002041e-08
9.276979e-09	6.322316e+02	2.002041e-08
1.048888e-08	6.404969e+02	2.002041e-08
1.232330e-08	6.487622e+02	2.002041e-08
1.527328e-08	6.570276e+02	2.002041e-08
2.020656e-08	6.652929e+02	2.002041e-08
2.862924e-08	6.735582e+02	2.002041e-08
4.311865e-08	6.818235e+02	2.002041e-08
6.802409e-08	6.900888e+02	2.002041e-08
1.105831e-07	6.983541e+02	2.002041e-08
1.826703e-07	7.066194e+02	2.002041e-08
3.034908e-07	7.148847e+02	2.002041e-08
5.036489e-07	7.231500e+02	2.002041e-08
1.719907e-10	3.181500e+02	2.013061e-08
1.998516e-10	3.264153e+02	2.013061e-08
2.323122e-10	3.346806e+02	2.013061e-08
2.698341e-10	3.429459e+02	2.013061e-08
3.128878e-10	3.512112e+02	2.013061e-08
3.619509e-10	3.594765e+02	2.013061e-08
4.175054e-10	3.677418e+02	2.013061e-08
4.800349e-10	3.760071e+02	2.013061e-08
